| THETA | 1.071 | GO    | 395.0  | 394.9    | 424.9   | 433.6    | -8.755| 320.2 | 0.055 | -26.26| 0.000 | 1.423 | 72.42  | 47.58 |
| THETA | 1.082 | GO    | 385.0  | 383.6    | 429.2   | 437.9    | -8.684| 311.5 | 0.071 | -26.05| 0.000 | 1.818 | 70.59  | 46.36 |
| THETA | 1.088 | GO    | 379.2  | 372.3    | 431.7   | 440.3    | -8.622| 302.8 | 0.062 | -25.86| 0.000 | 1.602 | 69.54  | 45.28 |
| THETA | 1.099 | GO    | 369.3  | 363.4    | 435.8   | 444.3    | -8.501| 294.3 | 0.120 | -25.50| 0.000 | 3.085 | 67.71  | 45.29 |
| THETA | 1.110 | GO    | 359.4  | 350.1    | 439.9   | 448.2    | -8.345| 286.0 | 0.156 | -25.03| 0.000 | 4.005 | 65.90  | 44.87 |
| THETA | 1.121 | GO    | 349.4  | 333.6    | 443.8   | 451.9    | -8.114| 277.9 | 0.231 | -24.34| 0.000 | 5.917 | 64.07  | 45.64 |
| THETA | 1.128 | GO    | 343.7  | 324.9    | 446.0   | 454.0    | -7.975| 269.9 | 0.138 | -23.92| 0.000 | 3.537 | 63.02  | 42.63 |
| THETA | 1.139 | GO    | 333.7  | 319.7    | 449.8   | 457.6    | -7.764| 262.1 | 0.211 | -23.29| 0.000 | 5.412 | 61.19  | 43.31 |
| THETA | 1.150 | GO    | 323.7  | 311.5    | 453.5   | 461.0    | -7.573| 254.6 | 0.191 | -22.72| 0.000 | 4.892 | 59.36  | 41.53 |
| THETA | 1.161 | GO    | 313.8  | 306.0    | 457.0   | 464.4    | -7.431| 247.1 | 0.141 | -22.29| 0.000 | 3.625 | 57.53  | 38.86 |
| THETA | 1.172 | GO    | 303.8  | 295.0    | 460.4   | 467.7    | -7.278| 239.9 | 0.153 | -21.83| 0.000 | 3.917 | 55.70  | 37.78 |
| THETA | 1.179 | GO    | 298.0  | 285.5    | 462.4   | 469.6    | -7.179| 232.7 | 0.099 | -21.53| 0.000 | 2.541 | 54.65  | 35.65 |
| THETA | 1.190 | GO    | 288.1  | 276.9    | 465.6   | 472.6    | -7.000| 225.7 | 0.178 | -21.00| 0.000 | 4.574 | 52.82  | 36.39 |
| THETA | 1.201 | GO    | 278.1  | 268.8    | 468.8   | 475.6    | -6.841| 218.8 | 0.158 | -20.52| 0.000 | 4.070 | 51.00  | 34.54 |
